level,word,meaning,field,example_index,situation,ko,current_tl,proposed_tl,reason,issue_count_for_word
3,경유,途中降機。トランジット;目的地に向かう途中の場所を経由する,examples.tl,2,旅行の計画,이번 유럽 여행은 두바이를 경유해서 가기로 했어요.,이번 유럽 여행은 두바이를 경유해서 가기로 했어요.,,same_as_korean,8
3,경유,途中降機。トランジット;目的地に向かう途中の場所を経由する,examples.tl,3,バス路線,이 버스는 강남을 경유해서 인천공항까지 갑니다.,이 버스는 강남을 경유해서 인천공항까지 갑니다.,,same_as_korean,8
3,경유,途中降機。トランジット;目的地に向かう途中の場所を経由する,examples.tl,4,電車の予約,대전을 경유하는 기차표를 예매했어요.,대전을 경유하는 기차표를 예매했어요.,,same_as_korean,8
3,경유,途中降機。トランジット;目的地に向かう途中の場所を経由する,examples.tl,5,フライト情報を確認する,경유 시간이 세 시간이라 공항에서 쇼핑을 했어요.,경유 시간이 세 시간이라 공항에서 쇼핑을 했어요.,,same_as_korean,8
3,경유,途中降機。トランジット;目的地に向かう途中の場所を経由する,examples.tl,7,友達と話す,홍콩을 경유하면 환승 대기 시간이 길어질 수 있어요.,홍콩을 경유하면 환승 대기 시간이 길어질 수 있어요.,,same_as_korean,8
3,경유,途中降機。トランジット;目的地に向かう途中の場所を経由する,examples.tl,8,旅行レビュー,경유지에서 하룻밤을 묵으며 그 도시도 구경했어요.,경유지에서 하룻밤을 묵으며 그 도시도 구경했어요.,,same_as_korean,8
3,경유,途中降機。トランジット;目的地に向かう途中の場所を経由する,examples.tl,9,航空会社に問い合わせる,경유 노선은 직항보다 시간이 두 배 더 걸려요.,경유 노선은 직항보다 시간이 두 배 더 걸려요.,,same_as_korean,8
3,계약서,契約書（書類）,example_tl,,入社初日,입사 전에 계약서에 서명해야 합니다.,입사 전에 계약서에 서명해야 합니다.,,same_as_korean,11
3,계약서,契約書（書類）,examples.tl,1,入社初日,입사 전에 계약서에 서명해야 합니다.,입사 전에 계약서에 서명해야 합니다.,,same_as_korean,11
3,계약서,契約書（書類）,examples.tl,10,書類の準備,계약서 사본을 파일에 보관해 두세요.,계약서 사본을 파일에 보관해 두세요.,,same_as_korean,11
3,계약서,契約書（書類）,examples.tl,2,不動産取引,계약서를 꼼꼼히 읽고 서명하세요.,계약서를 꼼꼼히 읽고 서명하세요.,,same_as_korean,11
3,계약서,契約書（書類）,examples.tl,3,フリーランスの仕事,프리랜서는 매 프로젝트마다 계약서를 씁니다.,프리랜서는 매 프로젝트마다 계약서를 씁니다.,,same_as_korean,11
3,계약서,契約書（書類）,examples.tl,4,法律相談,변호사가 계약서를 검토해 주었습니다.,변호사가 계약서를 검토해 주었습니다.,,same_as_korean,11
3,계약서,契約書（書類）,examples.tl,5,クライアントを訪問する,오늘 거래처와 계약서를 교환했습니다.,오늘 거래처와 계약서를 교환했습니다.,,same_as_korean,11
3,계약서,契約書（書類）,examples.tl,6,新入社員研修,계약서에는 근무 조건이 명시되어 있습니다.,계약서에는 근무 조건이 명시되어 있습니다.,,same_as_korean,11
3,계약서,契約書（書類）,examples.tl,7,交渉を終了する,양측이 계약서에 도장을 찍었습니다.,양측이 계약서에 도장을 찍었습니다.,,same_as_korean,11
3,계약서,契約書（書類）,examples.tl,8,リニューアルについて話し合う,계약서 갱신 기간이 다가오고 있습니다.,계약서 갱신 기간이 다가오고 있습니다.,,same_as_korean,11
3,계약서,契約書（書類）,examples.tl,9,紛争の発生,계약서 내용을 근거로 문제를 해결했습니다.,계약서 내용을 근거로 문제를 해결했습니다.,,same_as_korean,11
3,고객,顧客。クライアント,example_tl,,店内サービス,고객의 불만을 빠르게 처리하는 것이 중요하다.,고객의 불만을 빠르게 처리하는 것이 중요하다.,,same_as_korean,11
3,고객,顧客。クライアント,examples.tl,1,店内サービス,고객의 불만을 빠르게 처리하는 것이 중요하다.,고객의 불만을 빠르게 처리하는 것이 중요하다.,,same_as_korean,11
3,고객,顧客。クライアント,examples.tl,10,リピート来店の促進,다음 방문 때 쓸 수 있는 쿠폰을 고객에게 나눠줬다.,다음 방문 때 쓸 수 있는 쿠폰을 고객에게 나눠줬다.,,same_as_korean,11
3,고객,顧客。クライアント,examples.tl,2,顧客管理,이 회사는 고객 만족도를 높이기 위해 노력한다.,이 회사는 고객 만족도를 높이기 위해 노력한다.,,same_as_korean,11
3,고객,顧客。クライアント,examples.tl,3,カスタマーサービスの対応,직원이 고객에게 친절하게 인사했다.,직원이 고객에게 친절하게 인사했다.,,same_as_korean,11
3,고객,顧客。クライアント,examples.tl,4,マーケティング,새로운 고객을 유치하기 위한 광고를 제작했다.,새로운 고객을 유치하기 위한 광고를 제작했다.,,same_as_korean,11
3,고객,顧客。クライアント,examples.tl,5,VIPサービス,단골 고객에게는 특별 할인 혜택을 제공한다.,단골 고객에게는 특별 할인 혜택을 제공한다.,,same_as_korean,11
