level,word,meaning,field,example_index,situation,ko,current_tl,proposed_tl,reason,issue_count_for_word
4,감독,ディレクター。監督者,examples.tl,5,最優秀監督賞,그녀는 이번 영화제에서 최우수 감독상을 수상했습니다.,그녀는 이번 영화제에서 최우수 감독상을 수상했습니다.,,same_as_korean,11
4,감독,ディレクター。監督者,examples.tl,6,監督兼俳優,좋은 영화는 감독과 배우 사이의 신뢰에서 나옵니다.,좋은 영화는 감독과 배우 사이의 신뢰에서 나옵니다.,,same_as_korean,11
4,감독,ディレクター。監督者,examples.tl,7,スポーツコーチ,야구팀 감독이 교체되면서 팀 분위기가 달라졌습니다.,야구팀 감독이 교체되면서 팀 분위기가 달라졌습니다.,,same_as_korean,11
4,감독,ディレクター。監督者,examples.tl,8,監督の哲学,이 감독은 현실적인 이야기를 통해 사회 문제를 고발합니다.,이 감독은 현실적인 이야기를 통해 사회 문제를 고발합니다.,,same_as_korean,11
4,감독,ディレクター。監督者,examples.tl,9,撮影監督,촬영 감독은 영화의 시각적 스타일을 결정하는 핵심 인물입니다.,촬영 감독은 영화의 시각적 스타일을 결정하는 핵심 인물입니다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,example_tl,,美術鑑賞,그녀는 음악에 대한 뛰어난 감성을 가지고 있다.,그녀는 음악에 대한 뛰어난 감성을 가지고 있다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,examples.tl,1,美術鑑賞,그녀는 음악에 대한 뛰어난 감성을 가지고 있다.,그녀는 음악에 대한 뛰어난 감성을 가지고 있다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,examples.tl,10,教育,예술 교육은 아이들의 감성 발달에 큰 도움이 된다.,예술 교육은 아이들의 감성 발달에 큰 도움이 된다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,examples.tl,2,マーケティング,감성을 자극하는 광고가 소비자의 마음을 더 잘 움직인다.,감성을 자극하는 광고가 소비자의 마음을 더 잘 움직인다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,examples.tl,3,執筆,섬세한 감성이 담긴 시가 독자들의 공감을 얻었다.,섬세한 감성이 담긴 시가 독자들의 공감을 얻었다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,examples.tl,4,インテリアデザイン,그녀의 감성이 담긴 공간 꾸미기 아이디어가 인기를 끌었다.,그녀의 감성이 담긴 공간 꾸미기 아이디어가 인기를 끌었다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,examples.tl,5,映画,이 영화는 감성적인 장면들로 관객의 눈물을 자아냈다.,이 영화는 감성적인 장면들로 관객의 눈물을 자아냈다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,examples.tl,6,ファッション,그의 감성이 담긴 디자인은 독특하고 아름다웠다.,그의 감성이 담긴 디자인은 독특하고 아름다웠다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,examples.tl,7,読書,감성이 풍부한 작가의 글을 읽으면 마음이 풍요로워진다.,감성이 풍부한 작가의 글을 읽으면 마음이 풍요로워진다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,examples.tl,8,季節の変わり目,가을이 오면 감성이 더 예민해지는 것 같다.,가을이 오면 감성이 더 예민해지는 것 같다.,,same_as_korean,11
4,감성,感性。感情的な敏感さ,examples.tl,9,音楽制作,작곡가는 자신의 감성을 음악으로 표현했다.,작곡가는 자신의 감성을 음악으로 표현했다.,,same_as_korean,11
4,감정,感情。気持ち,example_tl,,会話,자신의 감정을 솔직하게 표현하는 것이 건강한 소통의 기본이다.,자신의 감정을 솔직하게 표현하는 것이 건강한 소통의 기본이다.,,same_as_korean,11
4,감정,感情。気持ち,examples.tl,1,会話,자신의 감정을 솔직하게 표현하는 것이 건강한 소통의 기본이다.,자신의 감정을 솔직하게 표현하는 것이 건강한 소통의 기본이다.,,same_as_korean,11
4,감정,感情。気持ち,examples.tl,10,人間関係,상대방의 감정을 이해하려는 노력이 좋은 관계를 만든다.,상대방의 감정을 이해하려는 노력이 좋은 관계를 만든다.,,same_as_korean,11
4,감정,感情。気持ち,examples.tl,2,心理学,감정은 행동에 큰 영향을 미친다는 것이 심리학의 기본 원리이다.,감정은 행동에 큰 영향을 미친다는 것이 심리학의 기본 원리이다.,,same_as_korean,11
4,감정,感情。気持ち,examples.tl,3,子供の教育,아이들이 감정을 올바르게 표현하도록 가르치는 것이 중요하다.,아이들이 감정을 올바르게 표현하도록 가르치는 것이 중요하다.,,same_as_korean,11
4,감정,感情。気持ち,examples.tl,4,執筆,감정이 담긴 글은 독자의 마음을 더 깊이 움직인다.,감정이 담긴 글은 독자의 마음을 더 깊이 움직인다.,,same_as_korean,11
4,감정,感情。気持ち,examples.tl,5,意思決定,중요한 결정을 내릴 때 감정에 휘쓸리지 않도록 주의해야 한다.,중요한 결정을 내릴 때 감정에 휘쓸리지 않도록 주의해야 한다.,,same_as_korean,11
4,감정,感情。気持ち,examples.tl,6,音楽,음악은 말로 표현하기 어려운 감정을 담아내는 예술이다.,음악은 말로 표현하기 어려운 감정을 담아내는 예술이다.,,same_as_korean,11
4,감정,感情。気持ち,examples.tl,7,カウンセリング・相談,억압된 감정은 결국 신체 증상으로 나타날 수 있다.,억압된 감정은 결국 신체 증상으로 나타날 수 있다.,,same_as_korean,11
4,감정,感情。気持ち,examples.tl,8,職場,전문적인 환경에서도 감정을 무시해서는 안 된다.,전문적인 환경에서도 감정을 무시해서는 안 된다.,,same_as_korean,11
4,감정,感情。気持ち,examples.tl,9,映画,그 영화는 다양한 감정을 이끌어내어 관객을 사로잡았다.,그 영화는 다양한 감정을 이끌어내어 관객을 사로잡았다.,,same_as_korean,11
4,개요,概要;まとめ;概要,example_tl,,ライティングクラス,발표 전에 개요를 먼저 작성해야 내용이 체계적으로 정리됩니다.,발표 전에 개요를 먼저 작성해야 내용이 체계적으로 정리됩니다.,,same_as_korean,11
4,개요,概要;まとめ;概要,examples.tl,1,ライティングクラス,발표 전에 개요를 먼저 작성해야 내용이 체계적으로 정리됩니다.,발표 전에 개요를 먼저 작성해야 내용이 체계적으로 정리됩니다.,,same_as_korean,11
4,개요,概要;まとめ;概要,examples.tl,10,文学分析,소설의 개요를 정리하면 주제와 구성을 쉽게 이해할 수 있습니다.,소설의 개요를 정리하면 주제와 구성을 쉽게 이해할 수 있습니다.,,same_as_korean,11
4,개요,概要;まとめ;概要,examples.tl,2,論文を書く,논문의 개요를 보면 전체적인 흐름을 파악할 수 있습니다.,논문의 개요를 보면 전체적인 흐름을 파악할 수 있습니다.,,same_as_korean,11
4,개요,概要;まとめ;概要,examples.tl,3,授業の準備,선생님은 학생들에게 보고서 개요를 제출하도록 했습니다.,선생님은 학생들에게 보고서 개요를 제출하도록 했습니다.,,same_as_korean,11
4,개요,概要;まとめ;概要,examples.tl,4,読書ディスカッション,책의 개요를 파악한 뒤 세부 내용을 분석하는 것이 효과적입니다.,책의 개요를 파악한 뒤 세부 내용을 분석하는 것이 효과적입니다.,,same_as_korean,11
4,개요,概要;まとめ;概要,examples.tl,5,会議の準備,회의 전에 안건 개요를 미리 공유해 두면 토론이 원활해집니다.,회의 전에 안건 개요를 미리 공유해 두면 토론이 원활해집니다.,,same_as_korean,11
4,개요,概要;まとめ;概要,examples.tl,6,講義計画,교수님이 강의 개요를 칠판에 적어 주셨습니다.,교수님이 강의 개요를 칠판에 적어 주셨습니다.,,same_as_korean,11
4,개요,概要;まとめ;概要,examples.tl,7,編集作業,편집자는 원고의 개요를 검토한 후 수정 사항을 알려 주었습니다.,편집자는 원고의 개요를 검토한 후 수정 사항을 알려 주었습니다.,,same_as_korean,11
4,개요,概要;まとめ;概要,examples.tl,8,カバーレター/個人的な声明,자기소개서를 쓰기 전에 개요를 잡으면 논리적으로 작성할 수 있습니다.,자기소개서를 쓰기 전에 개요를 잡으면 논리적으로 작성할 수 있습니다.,,same_as_korean,11
4,개요,概要;まとめ;概要,examples.tl,9,プレゼンテーション,발표 자료의 개요 슬라이드를 첫 페이지에 넣었습니다.,발표 자료의 개요 슬라이드를 첫 페이지에 넣었습니다.,,same_as_korean,11
4,개혁,改革,example_tl,,政治的議論,정부는 교육 제도의 근본적인 개혁을 추진하고 있다.,정부는 교육 제도의 근본적인 개혁을 추진하고 있다.,,same_as_korean,11
4,개혁,改革,examples.tl,1,政治的議論,정부는 교육 제도의 근본적인 개혁을 추진하고 있다.,정부는 교육 제도의 근본적인 개혁을 추진하고 있다.,,same_as_korean,11
4,개혁,改革,examples.tl,10,党会議,당 내부에서도 선거 제도 개혁에 대한 의견이 엇갈리고 있다.,당 내부에서도 선거 제도 개혁에 대한 의견이 엇갈리고 있다.,,same_as_korean,11
4,개혁,改革,examples.tl,2,報道,이번 개혁으로 행정 절차가 훨씬 간소화될 것으로 기대된다.,이번 개혁으로 행정 절차가 훨씬 간소화될 것으로 기대된다.,,same_as_korean,11
4,개혁,改革,examples.tl,3,議会での議論,야당은 세제 개혁안에 강하게 반대하는 입장을 밝혔다.,야당은 세제 개혁안에 강하게 반대하는 입장을 밝혔다.,,same_as_korean,11
4,개혁,改革,examples.tl,4,学術講演会,사회 개혁 없이는 빈부 격차를 해소하기 어렵다.,사회 개혁 없이는 빈부 격차를 해소하기 어렵다.,,same_as_korean,11
4,개혁,改革,examples.tl,5,市民運動,시민들은 부패한 정치 구조의 개혁을 강하게 요구했다.,시민들은 부패한 정치 구조의 개혁을 강하게 요구했다.,,same_as_korean,11
4,개혁,改革,examples.tl,6,政策発表,대통령은 취임 첫해에 대대적인 행정 개혁을 단행했다.,대통령은 취임 첫해에 대대적인 행정 개혁을 단행했다.,,same_as_korean,11
4,개혁,改革,examples.tl,7,新聞コラム,개혁은 단기간에 이루어지는 것이 아니라 지속적인 노력이 필요하다.,개혁은 단기간에 이루어지는 것이 아니라 지속적인 노력이 필요하다.,,same_as_korean,11
4,개혁,改革,examples.tl,8,経済学の議論,노동 시장 개혁은 경제 성장의 핵심 과제 중 하나다.,노동 시장 개혁은 경제 성장의 핵심 과제 중 하나다.,,same_as_korean,11
4,개혁,改革,examples.tl,9,歴史の授業,조선 시대에도 다양한 제도 개혁이 시도되었다.,조선 시대에도 다양한 제도 개혁이 시도되었다.,,same_as_korean,11
4,개화,啓発;近代化。開く,example_tl,,歴史の授業,19세기 말 조선은 개화의 물결 속에 있었다.,19세기 말 조선은 개화의 물결 속에 있었다.,,same_as_korean,11
4,개화,啓発;近代化。開く,examples.tl,1,歴史の授業,19세기 말 조선은 개화의 물결 속에 있었다.,19세기 말 조선은 개화의 물결 속에 있었다.,,same_as_korean,11
4,개화,啓発;近代化。開く,examples.tl,10,研究,갑신정변은 급진적 개화파가 일으킨 사건이었다.,갑신정변은 급진적 개화파가 일으킨 사건이었다.,,same_as_korean,11
4,개화,啓発;近代化。開く,examples.tl,2,講演・講演,개화사상은 서양 문물을 받아들이자는 운동이었다.,개화사상은 서양 문물을 받아들이자는 운동이었다.,,same_as_korean,11
4,개화,啓発;近代化。開く,examples.tl,3,教科書,김옥균은 대표적인 개화파 인물이었다.,김옥균은 대표적인 개화파 인물이었다.,,same_as_korean,11
4,개화,啓発;近代化。開く,examples.tl,4,読書,개화기의 소설은 전통과 근대의 갈등을 담고 있다.,개화기의 소설은 전통과 근대의 갈등을 담고 있다.,,same_as_korean,11
4,개화,啓発;近代化。開く,examples.tl,5,ディスカッション,개화는 필요했지만 너무 급격히 진행되었다는 평가도 있다.,개화는 필요했지만 너무 급격히 진행되었다는 평가도 있다.,,same_as_korean,11
4,개화,啓発;近代化。開く,examples.tl,6,ニュース,개화기의 신식 학교 사진이 공개되었다.,개화기의 신식 학교 사진이 공개되었다.,,same_as_korean,11
4,개화,啓発;近代化。開く,examples.tl,7,博物館,개화기 시절에 들어온 서양 물건들이 전시되어 있다.,개화기 시절에 들어온 서양 물건들이 전시되어 있다.,,same_as_korean,11
4,개화,啓発;近代化。開く,examples.tl,8,小説,소설 속 주인공은 개화의 바람을 타고 새로운 세계로 나아간다.,소설 속 주인공은 개화의 바람을 타고 새로운 세계로 나아간다.,,same_as_korean,11
4,개화,啓発;近代化。開く,examples.tl,9,論文・論文,개화 사상이 형성된 배경을 논문에서 분석했다.,개화 사상이 형성된 배경을 논문에서 분석했다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,example_tl,,日常会話,규칙적인 운동은 건강관리에 매우 중요하다.,규칙적인 운동은 건강관리에 매우 중요하다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,examples.tl,1,日常会話,규칙적인 운동은 건강관리에 매우 중요하다.,규칙적인 운동은 건강관리에 매우 중요하다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,examples.tl,10,食事管理,균형 잡힌 식단은 효과적인 건강관리의 기본이다.,균형 잡힌 식단은 효과적인 건강관리의 기본이다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,examples.tl,2,医師のアドバイス,의사는 환자에게 꾸준한 건강관리를 권장했다.,의사는 환자에게 꾸준한 건강관리를 권장했다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,examples.tl,3,ワークライフ,바쁜 직장인들도 건강관리를 소홀히 해서는 안 된다.,바쁜 직장인들도 건강관리를 소홀히 해서는 안 된다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,examples.tl,4,ニュース記事,정부는 국민 건강관리를 위해 새로운 정책을 발표했다.,정부는 국민 건강관리를 위해 새로운 정책을 발표했다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,examples.tl,5,高齢者福祉,노인들의 건강관리를 위한 지원 프로그램이 늘어나고 있다.,노인들의 건강관리를 위한 지원 프로그램이 늘어나고 있다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,examples.tl,6,学校教育,학교에서 학생들에게 올바른 건강관리 방법을 가르친다.,학교에서 학생들에게 올바른 건강관리 방법을 가르친다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,examples.tl,7,アプリ紹介,이 앱은 개인 건강관리를 도와주는 기능을 제공한다.,이 앱은 개인 건강관리를 도와주는 기능을 제공한다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,examples.tl,8,家族の会話,부모님의 건강관리를 위해 매주 병원에 모시고 간다.,부모님의 건강관리를 위해 매주 병원에 모시고 간다.,,same_as_korean,11
4,건강관리,健康管理、ヘルスケア,examples.tl,9,運動のアドバイス,전문 트레이너에게 건강관리 방법을 배우는 것이 효과적이다.,전문 트레이너에게 건강관리 방법을 배우는 것이 효과적이다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,example_tl,,健康診断,매년 건강검진을 받아 건강 상태를 확인하는 것이 좋다.,매년 건강검진을 받아 건강 상태를 확인하는 것이 좋다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,examples.tl,1,健康診断,매년 건강검진을 받아 건강 상태를 확인하는 것이 좋다.,매년 건강검진을 받아 건강 상태를 확인하는 것이 좋다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,examples.tl,10,尿検査,소변 검사를 통해 신장 기능 이상 여부를 확인할 수 있다.,소변 검사를 통해 신장 기능 이상 여부를 확인할 수 있다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,examples.tl,2,血液検査,의사는 혈액 검사를 통해 빈혈 여부를 확인했다.,의사는 혈액 검사를 통해 빈혈 여부를 확인했다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,examples.tl,3,CTスキャン,두통이 심해져 CT 검사를 받아보기로 했다.,두통이 심해져 CT 검사를 받아보기로 했다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,examples.tl,4,妊娠検査薬,임신 여부를 확인하기 위해 산부인과에서 초음파 검사를 받았다.,임신 여부를 확인하기 위해 산부인과에서 초음파 검사를 받았다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,examples.tl,5,試験結果,검사 결과가 정상으로 나와 큰 안도감을 느꼈다.,검사 결과가 정상으로 나와 큰 안도감을 느꼈다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,examples.tl,6,胃カメラ検査,위내시경 검사를 통해 위염이 있다는 사실을 알게 되었다.,위내시경 검사를 통해 위염이 있다는 사실을 알게 되었다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,examples.tl,7,試験費用,정밀 검사는 비용이 많이 들어 부담스러울 수 있다.,정밀 검사는 비용이 많이 들어 부담스러울 수 있다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,examples.tl,8,試験前の準備,혈액 검사를 위해 검사 전날 밤부터 금식해야 했다.,혈액 검사를 위해 검사 전날 밤부터 금식해야 했다.,,same_as_korean,11
4,검사,健康診断、検査、健康診断,examples.tl,9,職場の健康診断,회사에서 매년 직원들을 대상으로 건강검진을 실시한다.,회사에서 매년 직원들을 대상으로 건강검진을 실시한다.,,same_as_korean,11
4,경기침체,経済不況,example_tl,,報道,전 세계적인 경기침체로 인해 많은 기업들이 어려움을 겪고 있다.,전 세계적인 경기침체로 인해 많은 기업들이 어려움을 겪고 있다.,,same_as_korean,11
4,경기침체,経済不況,examples.tl,1,報道,전 세계적인 경기침체로 인해 많은 기업들이 어려움을 겪고 있다.,전 세계적인 경기침체로 인해 많은 기업들이 어려움을 겪고 있다.,,same_as_korean,11
4,경기침체,経済不況,examples.tl,10,消費者インタビュー,경기침체 때문에 외식을 줄이고 집에서 밥을 해 먹고 있다.,경기침체 때문에 외식을 줄이고 집에서 밥을 해 먹고 있다.,,same_as_korean,11
4,경기침체,経済不況,examples.tl,2,経済分析,경기침체 기간에는 소비자들이 지출을 줄이는 경향이 있다.,경기침체 기간에는 소비자들이 지출을 줄이는 경향이 있다.,,same_as_korean,11
4,경기침체,経済不況,examples.tl,3,政府会議,정부는 경기침체를 극복하기 위해 대규모 경기 부양책을 발표했다.,정부는 경기침체를 극복하기 위해 대규모 경기 부양책을 발표했다.,,same_as_korean,11
4,경기침체,経済不況,examples.tl,4,会社報告書,경기침체의 영향으로 올해 매출이 크게 감소했다.,경기침체의 영향으로 올해 매출이 크게 감소했다.,,same_as_korean,11
4,경기침체,経済不況,examples.tl,5,経済学の講義,경기침체는 일반적으로 GDP가 두 분기 연속 감소할 때 발생한다.,경기침체는 일반적으로 GDP가 두 분기 연속 감소할 때 발생한다.,,same_as_korean,11
4,경기침체,経済不況,examples.tl,6,投資相談,경기침체 시기에는 안전 자산에 투자하는 것이 유리하다.,경기침체 시기에는 안전 자산에 투자하는 것이 유리하다.,,same_as_korean,11
4,경기침체,経済不況,examples.tl,7,就職相談,경기침체로 인해 청년 실업률이 크게 높아졌다.,경기침체로 인해 청년 실업률이 크게 높아졌다.,,same_as_korean,11
4,경기침체,経済不況,examples.tl,8,経済新聞,전문가들은 내년 경기침체 가능성을 50%로 예측하고 있다.,전문가들은 내년 경기침체 가능성을 50%로 예측하고 있다.,,same_as_korean,11
4,경기침체,経済不況,examples.tl,9,経営戦略会議,경기침체에 대비해 비용 절감 계획을 세워야 한다.,경기침체에 대비해 비용 절감 계획을 세워야 한다.,,same_as_korean,11
4,경제성장,経済成長,example_tl,,GDP 를 논의할 때,올해 경제성장률이 3%를 기록했어요.,올해 경제성장률이 3%를 기록했어요.,,same_as_korean,11
4,경제성장,経済成長,examples.tl,1,GDP 를 논의할 때,올해 경제성장률이 3%를 기록했어요.,올해 경제성장률이 3%를 기록했어요.,,same_as_korean,11
4,경제성장,経済成長,examples.tl,10,투자 환경을 이야기할 때,안정적인 경제성장은 외국인 투자를 끌어들여요.,안정적인 경제성장은 외국인 투자를 끌어들여요.,,same_as_korean,11
4,경제성장,経済成長,examples.tl,2,발전 전략을 이야기할 때,지속적인 경제성장을 위해 기술 혁신이 필요해요.,지속적인 경제성장을 위해 기술 혁신이 필요해요.,,same_as_korean,11
4,경제성장,経済成長,examples.tl,3,정부 정책을 논의할 때,정부는 경제성장을 위한 다양한 정책을 발표했어요.,정부는 경제성장을 위한 다양한 정책을 발표했어요.,,same_as_korean,11
4,경제성장,経済成長,examples.tl,4,고용과 연결할 때,경제성장이 이루어지면 일자리도 늘어나요.,경제성장이 이루어지면 일자리도 늘어나요.,,same_as_korean,11
4,경제성장,経済成長,examples.tl,5,경제 보고서를 분석할 때,지난 10년간 이 나라의 경제성장은 눈부셨어요.,지난 10년간 이 나라의 경제성장은 눈부셨어요.,,same_as_korean,11
4,경제성장,経済成長,examples.tl,6,불평등 문제를 이야기할 때,경제성장이 모든 국민에게 혜택이 되어야 해요.,경제성장이 모든 국민에게 혜택이 되어야 해요.,,same_as_korean,11
4,경제성장,経済成長,examples.tl,7,국제 비교를 할 때,개발도상국의 경제성장 속도가 선진국보다 빨라요.,개발도상국의 경제성장 속도가 선진국보다 빨라요.,,same_as_korean,11
4,경제성장,経済成長,examples.tl,8,환경 문제와 연결할 때,무분별한 경제성장은 환경 파괴를 가져올 수 있어요.,무분별한 경제성장은 환경 파괴를 가져올 수 있어요.,,same_as_korean,11
4,경제성장,経済成長,examples.tl,9,미래를 예측할 때,전문가들은 내년에도 경제성장이 이어질 것으로 예상해요.,전문가들은 내년에도 경제성장이 이어질 것으로 예상해요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,example_tl,,거시경제를 분석할 때,GDP는 한 나라의 경제력을 나타내는 대표적인 경제지표예요.,GDP는 한 나라의 경제력을 나타내는 대표적인 경제지표예요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,examples.tl,1,거시경제를 분석할 때,GDP는 한 나라의 경제력을 나타내는 대표적인 경제지표예요.,GDP는 한 나라의 경제력을 나타내는 대표적인 경제지표예요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,examples.tl,10,언론 보도를 이야기할 때,경제지표 발표가 주식 시장에 큰 영향을 미쳐요.,경제지표 발표가 주식 시장에 큰 영향을 미쳐요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,examples.tl,2,투자 결정을 논의할 때,투자자들은 주요 경제지표를 분석하여 투자 결정을 내려요.,투자자들은 주요 경제지표를 분석하여 투자 결정을 내려요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,examples.tl,3,실업률을 논의할 때,실업률은 노동시장 상황을 파악하는 중요한 경제지표예요.,실업률은 노동시장 상황을 파악하는 중요한 경제지표예요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,examples.tl,4,물가를 이야기할 때,소비자물가지수는 인플레이션을 측정하는 주요 경제지표예요.,소비자물가지수는 인플레이션을 측정하는 주요 경제지표예요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,examples.tl,5,경기 예측을 이야기할 때,선행 경제지표를 통해 경기 흐름을 미리 예측할 수 있어요.,선행 경제지표를 통해 경기 흐름을 미리 예측할 수 있어요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,examples.tl,6,보고서를 분석할 때,이번 분기 경제지표가 예상보다 좋게 나왔어요.,이번 분기 경제지표가 예상보다 좋게 나왔어요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,examples.tl,7,정책 효과를 평가할 때,경제지표의 변화를 통해 정책의 효과를 확인할 수 있어요.,경제지표의 변화를 통해 정책의 효과를 확인할 수 있어요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,examples.tl,8,국가 간 비교를 할 때,경제지표를 통해 각 나라의 경제 상황을 비교할 수 있어요.,경제지표를 통해 각 나라의 경제 상황을 비교할 수 있어요.,,same_as_korean,11
4,경제지표,経済指標、経済指標,examples.tl,9,중앙은행 정책을 논의할 때,중앙은행은 경제지표를 분석해서 금리를 결정해요.,중앙은행은 경제지표를 분석해서 금리를 결정해요.,,same_as_korean,11
4,고령화,人口の高齢化。人口高齢化,example_tl,,人口統計,한국은 세계에서 가장 빠른 속도로 고령화가 진행되고 있다.,한국은 세계에서 가장 빠른 속도로 고령화가 진행되고 있다.,,same_as_korean,11
